ticker,date,period_ending,estimate,reported,surprise,surprise%
A,11/25/2024,10/31/2024,1.41,1.46,0.05,3.5461
AA,10/16/2024,9/30/2024,0.28,0.57,0.29,103.5714
AAL,10/24/2024,9/30/2024,0.16,0.3,0.14,87.5000
AAMI,10/31/2024,9/30/2024,0.48,0.59,0.11,22.9167
AAOI,11/7/2024,9/30/2024,-0.17,-0.21,-0.04,-23.5294
AAON,11/7/2024,9/30/2024,0.57,0.63,0.06,10.5263
AAP,11/14/2024,9/30/2024,0.53,-0.04,-0.57,-107.5472
AAPL,10/31/2024,9/30/2024,1.6,1.64,0.04,2.5000
AAT,10/29/2024,9/30/2024,0.29,0.28,-0.01,-3.4483
ABBV,10/30/2024,9/30/2024,2.92,3,0.08,2.7397
ABCB,10/24/2024,9/30/2024,1.25,1.38,0.13,10.4000
ABG,10/29/2024,9/30/2024,6.58,6.35,-0.23,-3.4954
ABM,12/11/2024,10/31/2024,0.8715,0.9,0.0285,3.2702
ABNB,11/7/2024,9/30/2024,2.14,2.13,-0.01,-0.4673
ABR,11/1/2024,9/30/2024,0.4,0.43,0.03,7.5000
ABSI,11/12/2024,9/30/2024,-0.21,-0.2412,-0.0312,-14.8571
ABT,10/16/2024,9/30/2024,1.2,1.21,0.01,0.8333
ABUS,11/6/2024,9/30/2024,-0.09,-0.09,0,0.0000
ACA,10/30/2024,9/30/2024,0.86,0.91,0.05,5.8140
ACAD,11/6/2024,9/30/2024,0.14,0.2,0.06,42.8571
ACCO,10/31/2024,9/30/2024,0.23,0.23,0,0.0000
ACDC,11/5/2024,9/30/2024,-0.1445,-0.1054,0.0391,27.0588
ACEL,10/30/2024,9/30/2024,0.2,0.22,0.02,10.0000
ACGL,10/30/2024,9/30/2024,1.96,1.99,0.03,1.5306
ACHC,10/30/2024,9/30/2024,0.9,0.91,0.01,1.1111
ACHR,11/7/2024,9/30/2024,-0.32,-0.29,0.03,9.3750
ACI,1/7/2025,11/30/2024,0.66,0.71,0.05,7.5758
ACIC,11/6/2024,9/30/2024,0.35,0.54,0.19,54.2857
ACIW,11/7/2024,9/30/2024,0.42,0.77,0.35,83.3333
ACLS,11/6/2024,9/30/2024,1.43,1.49,0.06,4.1958
ACLX,11/8/2024,9/30/2024,-0.2447,-0.48,-0.2353,-96.1586
ACM,11/11/2024,9/30/2024,1.2465,1.27,0.0235,1.8853
ACMR,11/7/2024,9/30/2024,0.37,0.63,0.26,70.2703
ACN,12/19/2024,11/30/2024,3.42,3.59,0.17,4.9708
ACNB,10/24/2024,9/30/2024,0.92,0.84,-0.08,-8.6957
ACRE,11/7/2024,9/30/2024,0.04,-0.11,-0.15,-375.0000
ACT,11/7/2024,9/30/2024,1.0866,1.16,0.0734,6.7550
ACTG,11/12/2024,9/30/2024,0.01,-0.1402,-0.1502,-1502.0000
ACVA,11/7/2024,9/30/2024,-0.11,-0.1,0.01,9.0909
ADBE,12/11/2024,11/30/2024,4.66,4.81,0.15,3.2189
ADC,10/22/2024,9/30/2024,0.43,0.42,-0.01,-2.3256
ADCT,11/7/2024,9/30/2024,-0.38,-0.42,-0.04,-10.5263
ADEA,11/7/2024,9/30/2024,0.39,0.27,-0.12,-30.7692
ADI,11/19/2024,10/31/2024,1.64,1.67,0.03,1.8293
ADM,11/5/2024,9/30/2024,1.24,1.09,-0.15,-12.0968
ADMA,11/7/2024,9/30/2024,0.13,0.15,0.02,15.3846
ADNT,11/8/2024,9/30/2024,0.52,0.68,0.16,30.7692
ADP,10/30/2024,9/30/2024,2.21,2.33,0.12,5.4299
ADPT,11/7/2024,9/30/2024,-0.29,-0.22,0.07,24.1379
ADSK,11/19/2024,10/31/2024,2.12,2.17,0.05,2.3585
ADT,10/24/2024,9/30/2024,0.17,0.2,0.03,17.6471
ADTN,11/6/2024,9/30/2024,-0.04,-0.05,-0.01,-25.0000
ADUS,11/4/2024,9/30/2024,1.28,1.3,0.02,1.5625
ADV,11/7/2024,9/30/2024,0.11,-0.1332,-0.2432,-221.0909
AEE,11/6/2024,9/30/2024,1.91,1.87,-0.04,-2.0942
AEHR,1/7/2025,11/30/2024,0.03,0.02,-0.01,-33.3333
AEIS,10/30/2024,9/30/2024,0.91,0.98,0.07,7.6923
AEO,12/5/2024,10/31/2024,0.4644,0.48,0.0156,3.3592
AEP,11/6/2024,9/30/2024,1.8,1.85,0.05,2.7778
AES,10/31/2024,9/30/2024,0.64,0.71,0.07,10.9375
AESI,10/28/2024,9/30/2024,0.24,0.04,-0.2,-83.3333
AFCG,11/13/2024,9/30/2024,0.35,0.05,-0.3,-85.7143
AFG,11/5/2024,9/30/2024,2.47,2.31,-0.16,-6.4777
AFL,10/30/2024,9/30/2024,1.69,2.16,0.47,27.8107
AFRM,11/7/2024,9/30/2024,-0.35,-0.31,0.04,11.4286
AGCO,11/5/2024,9/30/2024,1.08,0.4021,-0.6779,-62.7685
AGEN,11/5/2024,9/30/2024,-2.33,-3.08,-0.75,-32.1888
AGIO,10/31/2024,9/30/2024,1.11,-2.42,-3.53,-318.0180
AGL,11/7/2024,9/30/2024,-0.11,-0.29,-0.18,-163.6364
AGM,11/4/2024,9/30/2024,4.11,4.1,-0.01,-0.2433
AGNC,10/21/2024,9/30/2024,0.5,0.43,-0.07,-14.0000
AGO,11/11/2024,9/30/2024,1.35,2.42,1.07,79.2593
AGS,11/5/2024,9/30/2024,0.14,0.06,-0.08,-57.1429
AGX,12/4/2024,10/31/2024,1.26,2,0.74,58.7302
AGYS,10/21/2024,9/30/2024,0.3,0.35,0.05,16.6667
AHCO,11/5/2024,9/30/2024,0.17,0.1533,-0.0167,-9.8235
AHH,11/4/2024,9/30/2024,0.06,-0.11,-0.17,-283.3333
AHR,11/13/2024,9/30/2024,-0.01,-0.002,0.008,80.0000
AI,12/9/2024,10/31/2024,-0.1619,-0.06,0.1019,62.9401
AIG,11/4/2024,9/30/2024,1.1,1.23,0.13,11.8182
AIN,10/30/2024,9/30/2024,0.57,0.8,0.23,40.3509
AIOT,11/12/2024,9/30/2024,-0.02,-0.21,-0.19,-950.0000
AIP,11/5/2024,9/30/2024,-0.12,-0.08,0.04,33.3333
AIR,12/19/2024,11/30/2024,0.84,0.9,0.06,7.1429
AIT,10/24/2024,9/30/2024,2.25,2.36,0.11,4.8889
AIV,11/7/2024,9/30/2024,-0.11,-0.16,-0.05,-45.4545
AIZ,11/5/2024,9/30/2024,2.52,3,0.48,19.0476
AJG,10/24/2024,9/30/2024,2.27,2.26,-0.01,-0.4405
AKAM,11/7/2024,9/30/2024,1.59,1.59,0,0.0000
AKBA,11/6/2024,9/30/2024,-0.06,-0.1,-0.04,-66.6667
AKR,10/28/2024,9/30/2024,0.08,0.07,-0.01,-12.5000
AKRO,11/11/2024,9/30/2024,-0.9,-1.05,-0.15,-16.6667
AL,11/7/2024,9/30/2024,0.79,0.82,0.03,3.7975
ALAB,11/5/2024,9/30/2024,0.1704,0.23,0.0596,34.9765
ALB,11/6/2024,9/30/2024,-0.44,-1.55,-1.11,-252.2727
ALDX,11/1/2024,9/30/2024,-0.25,-0.25,0,0.0000
ALE,10/30/2024,9/30/2024,0.93,0.78,-0.15,-16.1290
ALEC,11/5/2024,9/30/2024,-0.53,-0.43,0.1,18.8679
ALEX,10/24/2024,9/30/2024,0.21,0.26,0.05,23.8095
ALG,10/31/2024,9/30/2024,2.44,2.28,-0.16,-6.5574
ALGM,10/31/2024,9/30/2024,0.06,0.08,0.02,33.3333
ALGN,10/23/2024,9/30/2024,2.31,2.35,0.04,1.7316
ALGT,10/30/2024,9/30/2024,-1.93,-2.02,-0.09,-4.6632
ALHC,10/29/2024,9/30/2024,-0.14,-0.14,0,0.0000
ALIT,11/12/2024,9/30/2024,0.09,-0.1381,-0.2281,-253.4444
ALK,10/25/2024,9/30/2024,2.17,2.25,0.08,3.6866
ALKS,10/24/2024,9/30/2024,0.74,0.72,-0.02,-2.7027
ALKT,10/30/2024,9/30/2024,0.06,0.08,0.02,33.3333
ALL,10/30/2024,9/30/2024,2.36,3.91,1.55,65.6780
ALLE,10/24/2024,9/30/2024,1.98,2.16,0.18,9.0909
ALLO,11/7/2024,9/30/2024,-0.33,-0.32,0.01,3.0303
ALLY,10/18/2024,9/30/2024,0.53,0.95,0.42,79.2453
ALNT,11/6/2024,9/30/2024,0.23,0.31,0.08,34.7826
ALNY,10/31/2024,9/30/2024,-0.93,-0.87,0.06,6.4516
ALRM,11/7/2024,9/30/2024,0.49,0.62,0.13,26.5306
